# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#  0.70 |      2496 |    7293 |  101 | 2.85e-03 | 4.05e-02 ||     10.94 |      2.36 |     160.05 |   44.23 |   14.74 |  1111.27 | 00h00'00  
#  0.80 |      5088 |    5187 |  100 | 9.96e-04 | 1.97e-02 ||     18.31 |      3.94 |     258.72 |   55.63 |   18.54 |   883.56 | 00h00'01  
#  0.90 |     16944 |    3874 |  100 | 2.23e-04 | 5.90e-03 ||     71.29 |     14.83 |    1051.21 |   45.77 |   15.26 |  1073.98 | 00h00'03  
#  1.00 |     72288 |    3934 |  100 | 5.31e-05 | 1.38e-03 ||    273.87 |     60.23 |    3993.13 |   51.32 |   17.11 |   957.77 | 00h00'15  
#  1.10 |    314720 |    3981 |  100 | 1.24e-05 | 3.18e-04 ||   1383.99 |    287.88 |   20372.15 |   43.86 |   14.62 |  1120.69 | 00h01'16  
#  1.20 |   1320256 |    2636 |  100 | 1.95e-06 | 7.57e-05 ||   5957.07 |   1236.43 |   84283.43 |   44.34 |   14.78 |  1108.60 | 00h05'24  
#  1.30 |   4751408 |    1319 |  100 | 2.71e-07 | 2.10e-05 ||  20909.38 |   4330.89 |  292079.12 |   46.00 |   15.33 |  1068.55 | 00h19'06  
#  1.40 |  14380288 |     815 |  100 | 5.53e-08 | 6.95e-06 ||  65507.64 |  13571.15 |  935238.31 |   43.55 |   14.52 |  1128.56 | 00h59'38  
#  1.50 |  27937840 |     491 |  100 | 1.72e-08 | 3.58e-06 || 125342.22 |  25950.94 | 1743093.50 |   45.30 |   15.10 |  1084.92 | 01h53'34 
#  1.60 |  35644288 |     315 |  100 | 8.63e-09 | 2.81e-06 || 147782.64 |  31170.64 | 2107226.50 |   47.90 |   15.97 |  1026.22 | 02h16'00
#  1.70 |  63900416 |     248 |  100 | 3.79e-09 | 1.56e-06 || 236074.81 |  51232.82 | 3443112.75 |   52.62 |   17.54 |   934.06 | 03h41'00  
#  1.80 |  83091200 |     207 |  100 | 2.43e-09 | 1.20e-06 || 295974.94 |  64839.14 | 4339659.50 |   54.30 |   18.10 |   905.12 | 04h40'04  
#  1.90 | 113189072 |     230 |  100 | 1.98e-09 | 8.83e-07 || 406503.38 |  88995.80 | 5958545.50 |   53.88 |   17.96 |   912.32 | 06h24'01
#  2.00 | 210827856 |     187 |  100 | 8.66e-10 | 4.74e-07 || 623486.69 | 143125.39 | 9398424.00 |   63.71 |   21.24 |   771.44 | 10h07'20


"int-16 Q_{5,4}"
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
